Name,OriginID,DestinationID,Total_Length_m
Above_Hood - Above_Hood,1,1,0
Above_Hood - Hood_RT,1,91,664.5838723
Above_Hood - Hood,1,89,699.6894073
Above_Hood - Hood Release,1,90,808.6665992
Above_Hood - Blw_Hood,1,39,4435.05368
Above_Hood - Blw_Sutter,1,44,7419.054209
Above_Hood - SutterSlough,1,133,7918.827817
Above_Hood - Blw_Steamboat,1,43,10278.87026
Above_Hood - SteamboatSlough,1,130,10524.35459
Above_Hood - Freeport,1,79,13528.35601
Above_Hood - MinorBlwSutter,1,112,14289.02095
Above_Hood - Freeport Div.,1,80,14378.32869
Above_Hood - FreeportBr,1,81,14378.32869
Above_Hood - MinerNorth,1,111,14382.88801
Above_Hood - SutterSteamJunc,1,134,17114.16205
Above_Hood - DeltaCross_Channel,1,77,19141.33364
Above_Hood - Georgiana_Slough,1,85,19706.00335
Above_Hood - BlwGeorgiana,1,48,19870.39745
Above_Hood - Mok_NF,1,113,22556.00008
Above_Hood - Mok_SF,1,115,24023.69154
Above_Hood - Lower Minor,1,102,24403.05353
Above_Hood - YB_LibertyIsBase,1,140,27072.53742
Above_Hood - BaseSutterSteam,1,21,27267.05257
Above_Hood - SacTrawl2,1,123,27838.81924
Above_Hood - SacTrawl1,1,122,28189.08336
Above_Hood - Hwy84Ferry,1,94,29120.9006
Above_Hood - SR_Mouth,1,128,30746.20448
Above_Hood - RioVistaBr,1,121,31597.52387
Above_Hood - I80_Br,1,95,31935.04013
Above_Hood - TowerBridge,1,138,33190.07293
Above_Hood - ToeDrainBase,1,136,33856.67877
Above_Hood - AR_Mouth,1,17,35442.14496
Above_Hood - Mok_NF_end,1,114,35485.90213
Above_Hood - GeorgeMok,1,84,38518.60562
Above_Hood - Mok_SF_end,1,117,39148.12518
Above_Hood - ThreeMile,1,135,40326.57296
Above_Hood - SouthofBW,1,127,40502.75025
Above_Hood - ToeDrainRST,1,137,40904.07449
Above_Hood - Mok_SF_Blw_Hwy12,1,116,41486.00997
Above_Hood - AR_Upstream_Hwy80,1,20,42174.71999
Above_Hood - DeckerIsland,1,71,42998.80315
Above_Hood - SJ_JerseyPt,1,126,48343.30566
Above_Hood - AR_Downstream_WattAve,1,16,49457.64486
Above_Hood - AntiochBridge,1,15,54540.53539
Above_Hood - YB_LisbonWeir,1,141,55575.89008
Above_Hood - Antioch,1,14,56009.24373
Above_Hood - ChippsW,1,65,57350.12812
Above_Hood - ChippsE,1,64,57866.52427
Above_Hood - SJ_Dutch Slough,1,125,58618.56274
Above_Hood - AR_RanchoCordova,1,18,60935.4777
Above_Hood - YB_LeveeMarker,1,139,63493.76381
Above_Hood - Abv_FremontWeir,1,3,66293.03615
Above_Hood - Blw_FRConf,1,37,66293.03615
Above_Hood - Blw_FremontWeir,1,38,66293.03615
Above_Hood - Old River,1,119,66620.17605
Above_Hood - AR_Sunrise_Ramp,1,19,67655.80067
Above_Hood - MiddleRiver,1,104,67776.36234
Above_Hood - Butte6,1,61,67945.44748
Above_Hood - Nimbus Hatchery RW,1,118,71356.98331
Above_Hood - KnaggsRanch_Rel,1,98,76959.13941
Above_Hood - KnaggsRanch_BlwRel,1,97,77067.57419
Above_Hood - Benicia,1,34,77977.93768
Above_Hood - BC_Beach,1,33,78125.92888
Above_Hood - Butte5,1,60,78368.30312
